date,tiker,close
2021-01-03,4180,17.34
2021-01-04,4180,17.4
2021-01-05,4180,17.3
2021-01-06,4180,17.24
2021-01-07,4180,17.36
2021-01-10,4180,17.66
2021-01-11,4180,17.7
2021-01-12,4180,17.6
2021-01-13,4180,17.54
2021-01-14,4180,17.5
2021-01-17,4180,17.4
2021-01-18,4180,17.26
2021-01-19,4180,17.1
2021-01-20,4180,17.22
2021-01-21,4180,17.24
2021-01-24,4180,17.38
2021-01-25,4180,17.32
2021-01-26,4180,17.16
2021-01-27,4180,17.14
2021-01-28,4180,17.14
2021-01-31,4180,16.88
2021-02-01,4180,16.5
2021-02-02,4180,16.38
2021-02-03,4180,16.04
2021-02-04,4180,15.98
2021-02-07,4180,16.3
2021-02-08,4180,17.6
2021-02-09,4180,17.4
2021-02-10,4180,18.38
2021-02-11,4180,18.04
2021-02-14,4180,18.46
2021-02-15,4180,18.42
2021-02-16,4180,19.48
2021-02-17,4180,19.28
2021-02-18,4180,19.2
2021-02-21,4180,19.58
2021-02-22,4180,20.32
2021-02-23,4180,20.2
2021-02-24,4180,19.0
2021-02-25,4180,20.14
2021-02-28,4180,21.3
2021-03-01,4180,20.32
2021-03-02,4180,20.24
2021-03-03,4180,22.26
2021-03-04,4180,22.0
2021-03-07,4180,24.2
2021-03-08,4180,26.6
2021-03-09,4180,27.7
2021-03-10,4180,26.85
2021-03-11,4180,26.0
2021-03-14,4180,27.1
2021-03-15,4180,27.45
2021-03-16,4180,26.85
2021-03-17,4180,26.25
2021-03-18,4180,27.4
2021-03-21,4180,28.2
2021-03-22,4180,27.5
2021-03-23,4180,27.15
2021-03-24,4180,27.15
2021-03-25,4180,27.7
2021-03-28,4180,27.55
2021-03-29,4180,27.95
2021-03-30,4180,30.7
2021-03-31,4180,31.3
2021-04-01,4180,32.15
2021-04-04,4180,35.0
2021-04-05,4180,34.3
2021-04-06,4180,33.65
2021-04-07,4180,32.8
2021-04-08,4180,32.6
2021-04-11,4180,32.95
2021-04-12,4180,32.65
