date,tiker,open,high,low,close,volume
2021-03-28,TASI,9438.6,9508.2,9422.91,9482.95,252808624
2021-03-29,TASI,9496.36,9615.63,9492.07,9615.63,314735360
2021-03-30,TASI,9610.66,9635.34,9592.28,9635.34,355301952
2021-03-31,TASI,9810.52,9909.64,9762.37,9907.82,507946560
2021-04-01,TASI,9908.07,9938.5,9869.47,9895.56,328303232
2021-04-04,TASI,9891.1,9986.16,9862.77,9962.77,373197280
2021-04-05,TASI,9969.51,9984.14,9939.6,9964.84,364402112
2021-04-06,TASI,9965.18,9995.84,9958.93,9988.98,396757600
2021-04-07,TASI,9992.51,10030.35,9979.16,10014.3,336285664
2021-04-08,TASI,10011.35,10039.23,9977.15,10012.13,282434848
2021-04-11,TASI,10010.59,10015.76,9921.27,9938.32,302390368
2021-04-12,TASI,9927.02,9929.65,9846.57,9907.62,285595616
2021-04-13,TASI,9911.53,9922.0,9838.28,9838.28,254227360
2021-04-14,TASI,9820.03,9847.62,9767.01,9847.62,202948496
2021-04-15,TASI,9863.29,9987.92,9862.29,9987.92,225510272
2021-04-18,TASI,10009.61,10065.05,10006.1,10048.7,237441920
2021-04-19,TASI,10062.16,10097.65,10007.38,10097.65,338520512
2021-04-20,TASI,10097.01,10125.57,10086.86,10116.98,345980288
2021-04-21,TASI,10127.94,10142.16,10095.36,10095.36,251781312
2021-04-22,TASI,10109.59,10136.66,10092.22,10134.08,260559840
2021-04-25,TASI,10139.08,10173.3,10128.99,10142.48,275144992
2021-04-26,TASI,10155.11,10231.06,10139.97,10231.06,309555424
2021-04-27,TASI,10226.35,10267.17,10205.03,10267.17,359496448
2021-04-28,TASI,10328.49,10540.17,10308.6,10531.22,457396544
2021-04-29,TASI,10493.64,10503.33,10382.49,10418.98,356287808
2021-05-02,TASI,10406.06,10416.48,10330.72,10365.51,321048288
2021-05-03,TASI,10381.4,10386.34,10309.37,10309.37,270269888
2021-05-04,TASI,10320.96,10354.03,10253.32,10318.94,238912752
2021-05-05,TASI,10324.7,10332.38,10252.15,10252.15,241252576
2021-05-06,TASI,10254.88,10258.27,10170.53,10228.35,245640560
2021-03-28,8010,78.1,78.5,77.5,78.4,198479
2021-03-29,8010,78.4,78.4,78.0,78.3,137636
2021-03-30,8010,78.2,78.3,77.6,77.8,129839
2021-03-31,8010,78.1,79.4,78.1,78.5,632925
2021-04-01,8010,78.8,80.6,78.6,79.6,596311
2021-04-04,8010,79.2,81.2,79.2,81.0,277658
2021-04-05,8010,81.0,81.0,79.7,80.1,321026
2021-04-06,8010,80.4,81.0,80.0,80.5,351920
2021-04-07,8010,80.0,81.0,79.9,80.7,203938
2021-04-08,8010,80.7,80.8,79.7,80.0,210298
2021-04-11,8010,80.0,80.1,79.6,79.8,86913
2021-04-12,8010,79.5,79.6,78.8,79.2,70348
2021-04-13,8010,80.0,80.5,79.3,79.3,121858
2021-04-14,8010,79.3,79.3,78.3,78.9,268125
2021-04-15,8010,78.8,80.0,78.8,79.6,51124
2021-04-18,8010,79.8,80.5,79.0,79.2,243837
2021-04-19,8010,78.7,79.1,78.3,79.0,256680
2021-04-20,8010,79.0,79.6,78.2,79.5,243262
2021-04-21,8010,79.6,79.7,78.2,78.2,504159
2021-04-22,8010,78.5,78.5,77.0,77.1,445890
2021-04-25,8010,77.3,78.0,76.5,77.0,341739
2021-04-26,8010,77.0,78.0,77.0,77.4,197453
2021-04-27,8010,77.4,78.1,77.2,78.1,68165
2021-04-28,8010,78.3,78.6,78.1,78.5,99582
2021-04-29,8010,78.4,79.1,77.6,77.6,351195
2021-05-02,8010,77.8,78.9,77.8,78.9,96555
2021-05-03,8010,80.2,81.2,78.5,78.6,454489
2021-05-04,8010,78.6,79.3,78.4,79.3,161853
2021-05-05,8010,79.0,79.4,78.3,78.3,180714
2021-05-06,8010,78.3,79.0,77.8,77.9,311139
2021-03-28,7020,29.35,29.45,29.2,29.25,850542
2021-03-29,7020,29.35,30.0,29.25,29.95,2370749
2021-03-30,7020,30.0,30.0,29.6,29.6,1568023
2021-03-31,7020,29.95,30.15,29.55,29.55,3793355
2021-04-01,7020,29.7,29.85,29.6,29.7,1312234
2021-04-04,7020,29.7,30.0,29.65,29.9,1549292
2021-04-05,7020,29.9,30.6,29.9,30.5,4742104
2021-04-06,7020,30.5,30.65,30.15,30.15,2597217
2021-04-07,7020,30.2,30.3,30.0,30.0,2497827
2021-04-08,7020,30.05,30.3,29.95,30.3,2111005
2021-04-11,7020,30.35,30.45,30.1,30.45,1729462
2021-04-12,7020,30.35,30.55,30.05,30.2,2014102
2021-04-13,7020,30.35,30.4,29.95,30.0,1721102
2021-04-14,7020,29.95,30.0,29.75,29.9,1647327
2021-04-15,7020,29.95,30.25,29.9,30.05,1544395
2021-04-18,7020,30.25,30.85,30.2,30.6,3526524
2021-04-19,7020,30.7,30.75,30.1,30.3,4999401
2021-04-20,7020,30.3,30.3,30.15,30.2,1373710
2021-04-21,7020,30.2,30.3,30.0,30.05,1347092
2021-04-22,7020,29.95,30.25,29.9,30.15,1139225
2021-04-25,7020,30.15,30.2,29.95,30.05,848137
2021-04-26,7020,30.1,30.1,29.9,30.0,1704373
2021-04-27,7020,30.0,30.25,29.9,30.2,2001252
2021-04-28,7020,30.3,30.3,30.0,30.15,2476057
2021-04-29,7020,30.15,31.05,30.05,30.95,7577504
2021-05-02,7020,31.0,31.3,30.85,31.0,5107012
2021-05-03,7020,31.05,31.4,31.0,31.15,3486409
2021-05-04,7020,31.15,31.95,30.9,31.8,5871377
2021-05-05,7020,32.0,32.3,31.6,31.6,6519599
2021-05-06,7020,31.55,31.65,31.2,31.4,2645387
2021-03-28,7010,118.0,118.2,117.0,118.0,376363
2021-03-29,7010,118.0,120.0,117.6,120.0,737150
2021-03-30,7010,120.0,121.4,119.0,120.8,573583
2021-03-31,7010,123.0,127.4,122.2,126.8,2153195
2021-04-01,7010,126.8,127.0,124.0,124.6,340027
2021-04-04,7010,124.6,127.6,124.4,127.2,372668
2021-04-05,7010,127.2,127.2,125.4,125.8,173256
2021-04-06,7010,126.2,126.8,125.0,125.0,311503
2021-04-07,7010,125.4,125.8,124.0,124.8,798432
2021-04-08,7010,124.8,126.0,124.4,125.0,391212
2021-04-11,7010,124.4,124.4,122.0,123.0,419018
2021-04-12,7010,123.0,123.2,121.4,121.8,746030
2021-04-13,7010,122.6,122.6,119.8,119.8,819282
2021-04-14,7010,119.8,121.4,119.0,120.8,437692
2021-04-15,7010,120.4,121.2,119.6,120.8,851812
2021-04-18,7010,121.2,123.0,121.2,122.8,332670
2021-04-19,7010,122.8,124.2,121.6,124.0,829012
2021-04-20,7010,124.2,125.0,123.6,124.0,730004
2021-04-21,7010,123.8,125.0,123.8,124.2,399079
2021-04-22,7010,124.2,125.4,124.2,125.4,333774
2021-04-25,7010,125.2,126.8,125.2,126.6,398597
2021-04-26,7010,126.6,127.0,124.0,127.0,731575
2021-04-27,7010,126.0,126.4,125.4,126.2,378020
2021-04-28,7010,127.0,129.0,126.8,127.6,1149055
2021-04-29,7010,127.4,127.8,125.6,127.0,531283
2021-05-02,7010,127.0,127.2,124.8,125.8,425132
2021-05-03,7010,126.8,126.8,124.4,124.4,465197
2021-05-04,7010,124.6,125.2,123.2,124.4,541157
2021-05-05,7010,124.2,124.2,123.0,123.0,504049
2021-05-06,7010,123.0,123.0,120.8,120.8,698604
2021-03-28,6090,21.5,22.18,21.5,21.56,2076635
2021-03-29,6090,21.64,21.68,21.5,21.66,723288
2021-03-30,6090,21.66,21.68,21.4,21.44,1201987
2021-03-31,6090,21.58,21.6,21.26,21.3,1049908
2021-04-01,6090,21.36,22.4,21.32,21.7,6564176
2021-04-04,6090,21.94,22.4,21.94,21.98,4773644
2021-04-05,6090,21.94,22.1,21.76,21.84,927139
2021-04-06,6090,22.04,22.16,21.84,22.04,1169444
2021-04-07,6090,22.36,24.0,22.32,22.98,21679208
2021-04-08,6090,23.04,23.54,22.48,22.56,6218361
2021-04-11,6090,22.74,22.74,22.26,22.32,1639876
2021-04-12,6090,22.4,22.68,22.22,22.64,1442590
2021-04-13,6090,22.52,22.72,22.3,22.34,1336755
